47,840
3642,5108
9726,11170
14545,15981
19768,21177
28863,29913
33621,35325
39386,40813
43474,45190
48014,49474
52479,54220
56668,58282
60264,61865
64344,65732
69215,70787
75418,77235
80307,81884
85682,87614
90687,92246
95038,96784
1.0173e+05,1.0365e+05
1.0694e+05,1.0863e+05
1.1164e+05,1.1375e+05
1.1623e+05,1.1759e+05
1.201e+05,1.2158e+05
1.2427e+05,1.2589e+05
1.2998e+05,1.3131e+05
1.3731e+05,1.3914e+05
1.4186e+05,1.4359e+05
1.4624e+05,1.4816e+05
1.5145e+05,1.5274e+05
1.5536e+05,1.5674e+05
1.6013e+05,1.6144e+05
1.6321e+05,1.6539e+05
1.6747e+05,1.6903e+05
1.7093e+05,1.7251e+05
1.7454e+05,1.7586e+05
1.7911e+05,1.8031e+05
1.8376e+05,1.8535e+05
1.8811e+05,1.8831e+05
1.8899e+05,1.8929e+05
1.9318e+05,1.9368e+05
